MB 343 (4x4) -> Y = 63 | CbCr = 70
MB 344 (16x16) -> Y = 64 | CbCr = 88
MB 345 (4x4) -> Y = 66 | CbCr = 52
MB 346 (4x4) -> Y = 76 | CbCr = 50
MB 347 (16x16) -> Y = 50 | CbCr = 45
MB 348 (4x4) -> Y = 61 | CbCr = 427
MB 349 (16x16) -> Y = 66 | CbCr = 71
MB 350 (4x4) -> Y = 72 | CbCr = 51
MB 351 (16x16) -> Y = 71 | CbCr = 90
MB 352 (16x16) -> Y = 56 | CbCr = 30
MB 353 (16x16) -> Y = 48 | CbCr = 79
MB 354 (16x16) -> Y = 33 | CbCr = 58
MB 355 (4x4) -> Y = 45 | CbCr = 65
MB 356 (16x16) -> Y = 69 | CbCr = 49
MB 357 (16x16) -> Y = 62 | CbCr = 211
MB 358 (4x4) -> Y = 83 | CbCr = 96
MB 359 (4x4) -> Y = 59 | CbCr = 52
MB 360 (16x16) -> Y = 65 | CbCr = 49
MB 361 (16x16) -> Y = 62 | CbCr = 29
MB 362 (16x16) -> Y = 59 | CbCr = 32
MB 363 (16x16) -> Y = 55 | CbCr = 66
MB 364 (16x16) -> Y = 63 | CbCr = 140
MB 365 (4x4) -> Y = 91 | CbCr = 85
MB 366 (16x16) -> Y = 54 | CbCr = 153
MB 367 (16x16) -> Y = 52 | CbCr = 511
MB 368 (4x4) -> Y = 53 | CbCr = 108
MB 369 (4x4) -> Y = 16 | CbCr = 54
MB 370 (4x4) -> Y = 186 | CbCr = 502
MB 371 (16x16) -> Y = 59 | CbCr = 53
MB 372 (16x16) -> Y = 60 | CbCr = 68
MB 373 (16x16) -> Y = 63 | CbCr = 52
MB 374 (4x4) -> Y = 66 | CbCr = 86
MB 375 (16x16) -> Y = 57 | CbCr = 344
MB 376 (16x16) -> Y = 52 | CbCr = 74
MB 377 (4x4) -> Y = 36 | CbCr = 72
MB 378 (16x16) -> Y = 49 | CbCr = 77
MB 379 (16x16) -> Y = 60 | CbCr = 59
MB 380 (4x4) -> Y = 75 | CbCr = 56
MB 381 (4x4) -> Y = 55 | CbCr = 48
MB 382 (16x16) -> Y = 42 | CbCr = 31
MB 383 (4x4) -> Y = 68 | CbCr = 32
MB 384 (16x16) -> Y = 57 | CbCr = 56
MB 385 (4x4) -> Y = 57 | CbCr = 533
MB 386 (16x16) -> Y = 57 | CbCr = 59
MB 387 (16x16) -> Y = 59 | CbCr = 68
MB 388 (4x4) -> Y = 55 | CbCr = 52
MB 389 (4x4) -> Y = 53 | CbCr = 77
MB 390 (4x4) -> Y = 51 | CbCr = 44
MB 391 (16x16) -> Y = 58 | CbCr = 63
MB 392 (16x16) -> Y = 55 | CbCr = 49
MB 393 (16x16) -> Y = 74 | CbCr = 45
MB 394 (16x16) -> Y = 78 | CbCr = 167
MB 395 (16x16) -> Y = 73 | CbCr = 75
MB 396 (16x16) -> Y = 54 | CbCr = 61
MB 397 (4x4) -> Y = 58 | CbCr = 60
MB 398 (16x16) -> Y = 41 | CbCr = 73
MB 399 (4x4) -> Y = 64 | CbCr = 47
MB 400 (16x16) -> Y = 65 | CbCr = 79
MB 401 (16x16) -> Y = 65 | CbCr = 93
MB 402 (4x4) -> Y = 64 | CbCr = 123
MB 403 (16x16) -> Y = 66 | CbCr = 126
MB 404 (16x16) -> Y = 58 | CbCr = 527
MB 405 (16x16) -> Y = 53 | CbCr = 129
MB 406 (4x4) -> Y = 22 | CbCr = 96
MB 407 (4x4) -> Y = 182 | CbCr = 446
MB 408 (16x16) -> Y = 58 | CbCr = 55
MB 409 (4x4) -> Y = 55 | CbCr = 165
MB 410 (4x4) -> Y = 69 | CbCr = 287
MB 411 (4x4) -> Y = 48 | CbCr = 146
MB 412 (16x16) -> Y = 46 | CbCr = 43
MB 413 (4x4) -> Y = 46 | CbCr = 417
MB 414 (4x4) -> Y = 68 | CbCr = 449
MB 415 (4x4) -> Y = 65 | CbCr = 40
MB 416 (4x4) -> Y = 60 | CbCr = 50
MB 417 (16x16) -> Y = 78 | CbCr = 71
MB 418 (16x16) -> Y = 68 | CbCr = 72
MB 419 (4x4) -> Y = 68 | CbCr = 24
MB 420 (4x4) -> Y = 79 | CbCr = 51
MB 421 (16x16) -> Y = 65 | CbCr = 503
MB 422 (4x4) -> Y = 54 | CbCr = 79
MB 423 (16x16) -> Y = 50 | CbCr = 55
MB 424 (4x4) -> Y = 59 | CbCr = 48
MB 425 (16x16) -> Y = 60 | CbCr = 69
MB 426 (16x16) -> Y = 48 | CbCr = 67
MB 427 (16x16) -> Y = 54 | CbCr = 103
MB 428 (16x16) -> Y = 63 | CbCr = 68
MB 429 (16x16) -> Y = 48 | CbCr = 54
MB 430 (4x4) -> Y = 70 | CbCr = 43
MB 431 (4x4) -> Y = 69 | CbCr = 186
MB 432 (4x4) -> Y = 70 | CbCr = 76
MB 433 (16x16) -> Y = 48 | CbCr = 78
MB 434 (16x16) -> Y = 52 | CbCr = 80
MB 435 (16x16) -> Y = 61 | CbCr = 48
MB 436 (4x4) -> Y = 77 | CbCr = 61
MB 437 (4x4) -> Y = 58 | CbCr = 42
MB 438 (16x16) -> Y = 58 | CbCr = 100
MB 439 (4x4) -> Y = 83 | CbCr = 97
MB 440 (16x16) -> Y = 48 | CbCr = 146
MB 441 (16x16) -> Y = 48 | CbCr = 220
MB 442 (16x16) -> Y = 66 | CbCr = 448
MB 443 (4x4) -> Y = 20 | CbCr = 130
MB 444 (4x4) -> Y = 157 | CbCr = 335
MB 445 (16x16) -> Y = 52 | CbCr = 246
MB 446 (4x4) -> Y = 47 | CbCr = 159
MB 447 (4x4) -> Y = 23 | CbCr = 79
MB 448 (4x4) -> Y = 38 | CbCr = 67
MB 449 (16x16) -> Y = 30 | CbCr = 63
MB 450 (16x16) -> Y = 32 | CbCr = 119
MB 451 (16x16) -> Y = 47 | CbCr = 539
MB 452 (16x16) -> Y = 50 | CbCr = 343
MB 453 (4x4) -> Y = 85 | CbCr = 32
MB 454 (4x4) -> Y = 74 | CbCr = 47
MB 455 (16x16) -> Y = 58 | CbCr = 35
MB 456 (16x16) -> Y = 65 | CbCr = 44
MB 457 (4x4) -> Y = 81 | CbCr = 94
MB 458 (4x4) -> Y = 66 | CbCr = 516
MB 459 (16x16) -> Y = 65 | CbCr = 78
MB 460 (4x4) -> Y = 58 | CbCr = 69
MB 461 (16x16) -> Y = 60 | CbCr = 37
MB 462 (16x16) -> Y = 54 | CbCr = 43
MB 463 (4x4) -> Y = 80 | CbCr = 81
MB 464 (4x4) -> Y = 59 | CbCr = 60
MB 465 (16x16) -> Y = 53 | CbCr = 63
MB 466 (16x16) -> Y = 52 | CbCr = 34
MB 467 (16x16) -> Y = 53 | CbCr = 56
MB 468 (16x16) -> Y = 57 | CbCr = 110
MB 469 (16x16) -> Y = 59 | CbCr = 102
MB 470 (16x16) -> Y = 53 | CbCr = 101
MB 471 (16x16) -> Y = 61 | CbCr = 86
MB 472 (4x4) -> Y = 78 | CbCr = 72
MB 473 (4x4) -> Y = 69 | CbCr = 47
MB 474 (16x16) -> Y = 46 | CbCr = 34
MB 475 (4x4) -> Y = 57 | CbCr = 46
MB 476 (4x4) -> Y = 69 | CbCr = 102
MB 477 (16x16) -> Y = 70 | CbCr = 158
